OBJECTID,X,Y,geometry
28447,388774.382,5006684.203,388774.381952803|5006684.20259622
28448,337311.069,5006987.845,337311.068969775|5006987.8450634
28449,348742.0604,5007297.736,348742.060374617|5007297.73645318
28450,379659.1124,5007315.862,379659.1123818|5007315.86165164
28451,337743.8528,5007099.147,337743.852769283|5007099.14681478
28452,355703.4025,4998264.233,355703.402499487|4998264.2332446
28453,378999.0798,4998323.98,378999.079750499|4998323.98028435
28454,359135.8401,4998155.423,359135.840146128|4998155.42295557
28455,348385.4538,5006444.955,348385.453814719|5006444.95511224
28456,366031.6606,5006714.283,366031.660582736|5006714.2829416
28457,371481.884,5006753.21,371481.884031502|5006753.20971342
28458,376657.0655,5001082.242,376657.065540107|5001082.24202
28459,376945.7544,5001184.212,376945.754398328|5001184.212213
28460,377133.523,5001202.771,377133.523033333|5001202.7705
28461,345546.772,4998345.009,345546.771996997|4998345.00861112
28462,345589.3209,4998374.634,345589.320933333|4998374.63356667
28463,349659.1829,4998231.524,349659.182872868|4998231.52448881
28464,355903.9737,4998356.064,355903.973697897|4998356.06351372
28465,379310.6369,4998345.454,379310.636944677|4998345.45409371
28466,351910.1345,4998349.026,351910.134453029|4998349.02608633
28467,378847.8374,4998186.425,378847.837426628|4998186.42459517
28468,379763.3779,4998387.807,379763.37787483|4998387.8069048
28469,345708.4619,4998378.733,345708.461945307|4998378.73305622
28470,351617.095,4998406.099,351617.094999231|4998406.09892215
28471,372341.4879,4998440.376,372341.48788051|4998440.37607763
28472,359102.2554,4998416.213,359102.255441682|4998416.21317815
28473,345173.1268,4998447.019,345173.126788332|4998447.0194345
28474,348978.7891,4998455.341,348978.789121034|4998455.34117835
28475,346838.5455,4998443.388,346838.545480965|4998443.38797588
28476,348957.9909,4998529.95,348957.990933333|4998529.94976667
28477,377321.4224,5002125.975,377321.422428833|5002125.97542016
28478,345360.5238,4997942.256,345360.52376244|4997942.25627364
28479,371879.8057,4997788.029,371879.805698576|4997788.02873768
28480,349239.7289,4997883.243,349239.728946946|4997883.24336275
28481,364288.8816,4989176.321,364288.881612424|4989176.32120402
28482,354239.7239,4989161.035,354239.723933641|4989161.03474721
28483,356085.3836,4989195.13,356085.383556532|4989195.13023212
28484,358470.0635,4989225.938,358470.063473468|4989225.93769849
28485,352892.454,4990142.732,352892.454018546|4990142.73229596
28486,360082.5078,4989876.371,360082.507773885|4989876.37143659
28487,354483.0332,4990163.817,354483.033242328|4990163.81661109
28488,354702.4861,4990131.178,354702.486113809|4990131.17813743
28489,359233.7239,4990182.384,359233.723851214|4990182.38398269
28490,366510.95,4990181.734,366510.950035324|4990181.73378051
28491,359288.9289,4990200.396,359288.928866666|4990200.39626667
28492,364701.3503,4990213.239,364701.350348605|4990213.23871945
28493,366568.3918,4990199.585,366568.391833708|4990199.58494552
28494,364657.7899,4990220.642,364657.789925485|4990220.64161514
28495,360460.485,4990221.376,360460.484972328|4990221.37597586
28496,359358.3264,4990199.207,359358.326449635|4990199.20729192
28497,353726.0204,4990212.151,353726.020431039|4990212.15062877
28498,357487.3581,4990141.57,357487.358148386|4990141.56955401
28499,352854.9197,4990232.279,352854.919666667|4990232.2791
28500,355967.5539,4990228.367,355967.553907304|4990228.36661625
28501,359944.8639,4990019.908,359944.863937589|4990019.90780049
28502,360482.5898,4990264.467,360482.589770435|4990264.4667064
28503,387345.9993,5001526.649,387345.999333011|5001526.64899921
28504,345215.1252,5001541.923,345215.125206177|5001541.9228861
28505,360545.2976,5001590.652,360545.297621028|5001590.65206636
28506,357508.7618,4992412.825,357508.761791665|4992412.82477293
28507,355789.3482,4992456.358,355789.348240279|4992456.35844192
28508,352233.5478,4992481.242,352233.547783873|4992481.24247004
28509,361937.3175,4992526.187,361937.317478893|4992526.18677572
28510,358686.5661,4992424.993,358686.56611568|4992424.99337046
28511,358196.7606,4992536.62,358196.76058771|4992536.62001822
28512,353248.8447,4992528.458,353248.844746796|4992528.45783898
28513,350368.5558,4992536.301,350368.555752572|4992536.30085602
28514,349218.9457,4992511.795,349218.945684101|4992511.79548337
28515,374062.5092,5004853.212,374062.509221114|5004853.21236695
28516,368481.0076,5004692.644,368481.007557626|5004692.64407293
28517,377107.3643,5004925.073,377107.364337972|5004925.07302708
28518,377155.5255,5004936.257,377155.525458638|5004936.25661231
28519,339615.6367,5004938.555,339615.6367|5004938.55466667
28520,360622.1359,5004934.811,360622.135924604|5004934.81060455
28521,374312.3013,5004932.733,374312.301318204|5004932.73343518
28522,384626.8283,5004861.269,384626.828347815|5004861.26874422
28523,382422.1148,5004788.939,382422.114795738|5004788.93867879
28524,346510.2638,5004943.325,346510.263775569|5004943.32529732
28525,381553.118,5004919.736,381553.118041059|5004919.73560079
28526,377211.9683,5004957.79,377211.968286654|5004957.78993865
28527,348852.4626,5007367.216,348852.462566667|5007367.21573333
