OBJECTID,X,Y,geometry
29181,349435.703526087,5019054.62057181,349435.703526087|5019054.62057181
29185,348758.519594488,5015130.27484573,348758.519594488|5015130.27484573
29186,348915.788857659,5015319.64685416,348915.788857659|5015319.64685416
29189,347122.241481007,5015252.19636092,347122.241481007|5015252.19636092
29197,374803.286950711,5010158.44754338,374803.286950711|5010158.44754338
29207,354390.864309925,5019287.76624042,354390.864309925|5019287.76624042
29214,375905.583201269,5010173.7613117,375905.583201269|5010173.7613117
29216,375104.844195481,5012261.42762828,375104.844195481|5012261.42762828
29217,349329.680558322,5012344.17010455,349329.680558322|5012344.17010455
29222,347888.746322074,5012302.17136077,347888.746322074|5012302.17136077
29226,374501.092529431,5009696.95934883,374501.092529431|5009696.95934883
29228,376187.976176326,5010232.74896838,376187.976176326|5010232.74896838
29234,340832.944539925,5024685.03355205,340832.944539925|5024685.03355205
29239,341078.836261348,5024824.28136792,341078.836261348|5024824.28136792
29246,342317.630462339,5024854.10843612,342317.630462339|5024854.10843612
29248,340261.592155601,5024535.09427443,340261.592155601|5024535.09427443
29249,340835.544974918,5024558.50938132,340835.544974918|5024558.50938132
29255,348298.785050572,5015380.4190285,348298.785050572|5015380.4190285
29257,347233.445157902,5015406.92657108,347233.445157902|5015406.92657108
29277,374247.096490557,5015408.47267174,374247.096490557|5015408.47267174
29279,361604.875629721,5019323.63545568,361604.875629721|5019323.63545568
29283,373973.035138146,5010224.2376332,373973.035138146|5010224.2376332
29294,362617.672745401,5020239.32899471,362617.672745401|5020239.32899471
29296,359126.795400763,5020284.69784585,359126.795400763|5020284.69784585
29308,349102.251808079,5012543.33544091,349102.251808079|5012543.33544091
29313,374445.042666667,5010413.69276667,374445.042666667|5010413.69276667
29315,374386.005577019,5010399.05635103,374386.005577019|5010399.05635103
29334,347996.411422343,5012624.27365767,347996.411422343|5012624.27365767
29351,354466.9070005,5020088.57365772,354466.9070005|5020088.57365772
29358,375178.005163905,5012119.62658597,375178.005163905|5012119.62658597
29362,374762.197107399,5012077.86405176,374762.197107399|5012077.86405176
29368,362534.637862542,5020365.4593484,362534.637862542|5020365.4593484
29371,377267.768607841,5010341.00288555,377267.768607841|5010341.00288555
29377,374757.792311501,5009481.48692143,374757.792311501|5009481.48692143
29380,375000.487306045,5009422.9758747,375000.487306045|5009422.9758747
29397,375929.639726817,5009547.21945672,375929.639726817|5009547.21945672
29401,376375.775095573,5011524.0693588,376375.775095573|5011524.0693588
29403,374382.055856236,5011534.62116821,374382.055856236|5011534.62116821
29404,348742.752752102,5011363.17987992,348742.752752102|5011363.17987992
29405,349103.078185501,5011541.71446773,349103.078185501|5011541.71446773
29415,341962.256069794,5024722.72907033,341962.256069794|5024722.72907033
29438,377261.195233514,5010533.17359372,377261.195233514|5010533.17359372
29439,377268.310616456,5010573.33697378,377268.310616456|5010573.33697378
29441,373824.554257145,5010348.54266494,373824.554257145|5010348.54266494
29445,374740.860660317,5015920.0145918,374740.860660317|5015920.0145918
29449,348552.551018245,5015974.94064148,348552.551018245|5015974.94064148
29479,375032.796632168,5009990.02525087,375032.796632168|5009990.02525087
29482,377238.64923704,5009906.65761979,377238.64923704|5009906.65761979
29488,375803.047015611,5010617.87711056,375803.047015611|5010617.87711056
29492,374225.767612589,5010699.28343243,374225.767612589|5010699.28343243
29497,341834.823832993,5024718.50583816,341834.823832993|5024718.50583816
29520,359081.519044559,5016073.10916527,359081.519044559|5016073.10916527
29521,359023.643269401,5016096.26286586,359023.643269401|5016096.26286586
29530,348049.970285086,5016724.57235165,348049.970285086|5016724.57235165
29532,349713.437733985,5016168.71638443,349713.437733985|5016168.71638443
29544,362649.172266475,5020144.5425266,362649.172266475|5020144.5425266
29560,374392.76132351,5010683.00198992,374392.76132351|5010683.00198992
29571,374386.173558674,5010768.28846442,374386.173558674|5010768.28846442
29575,374094.043614631,5010785.50060593,374094.043614631|5010785.50060593
29577,374335.539108731,5010792.27898598,374335.539108731|5010792.27898598
29592,348743.329587031,5013112.72626513,348743.329587031|5013112.72626513
29594,347623.341466667,5013176.36176667,347623.341466667|5013176.36176667
29596,358925.261148301,5016123.93903022,358925.261148301|5016123.93903022
29609,348345.064366667,5016238.56706667,348345.064366667|5016238.56706667
29610,359585.177866667,5016262.97086667,359585.177866667|5016262.97086667
29611,359610.412702345,5016265.37272842,359610.412702345|5016265.37272842
29612,362471.693622522,5020313.83755767,362471.693622522|5020313.83755767
29618,358594.922264638,5017125.16453321,358594.922264638|5017125.16453321
29624,361162.18868594,5016322.48871855,361162.18868594|5016322.48871855
29628,347795.645897311,5016375.78675553,347795.645897311|5016375.78675553
29637,374098.787222099,5010749.165557,374098.787222099|5010749.165557
29656,374018.920887599,5010807.38335817,374018.920887599|5010807.38335817
